schemaname,tablename,indexname,indexdef
public,partecipazioni_house_of_mentore,partecipazioni_house_partecipante_idx,CREATE INDEX partecipazioni_house_partecipante_idx ON public.partecipazioni_house_of_mentore USING btree (partecipante_id)
public,questionari,questionari_evento_interno_unique,CREATE UNIQUE INDEX questionari_evento_interno_unique ON public.questionari USING btree (evento_id) WHERE (provider = 'interno'::questionario_provider)
public,questionari,questionari_mentoraggio_idx,CREATE INDEX questionari_mentoraggio_idx ON public.questionari USING btree (mentoraggio_id)
public,questionari,questionari_mentoraggio_pubblico_unique,CREATE UNIQUE INDEX questionari_mentoraggio_pubblico_unique ON public.questionari USING btree (mentoraggio_id) WHERE (provider = 'pubblico'::questionario_provider)
public,questionari,questionari_pkey,CREATE UNIQUE INDEX questionari_pkey ON public.questionari USING btree (id)
public,questionari,questionari_pubblico_mentoraggio_unique,CREATE UNIQUE INDEX questionari_pubblico_mentoraggio_unique ON public.questionari USING btree (mentoraggio_id) WHERE ((provider = 'pubblico'::questionario_provider) AND (mentoraggio_id IS NOT NULL))
public,questionari,questionari_pubblico_token_unique,CREATE UNIQUE INDEX questionari_pubblico_token_unique ON public.questionari USING btree (pubblico_token) WHERE (pubblico_token IS NOT NULL)
public,questionari,questionari_template_idx,CREATE INDEX questionari_template_idx ON public.questionari USING btree (template_id)
public,questionari,questionari_token_pubblico_unique,CREATE UNIQUE INDEX questionari_token_pubblico_unique ON public.questionari USING btree (token_pubblico) WHERE (token_pubblico IS NOT NULL)
public,questionari_compilazioni,questionari_compilazione_interna_unique,"CREATE UNIQUE INDEX questionari_compilazione_interna_unique ON public.questionari_compilazioni USING btree (questionario_id, user_id) WHERE (user_id IS NOT NULL)"
public,questionari_compilazioni,questionari_compilazioni_pkey,CREATE UNIQUE INDEX questionari_compilazioni_pkey ON public.questionari_compilazioni USING btree (id)
public,questionari_compilazioni,questionari_compilazioni_questionario_id_user_id_key,"CREATE UNIQUE INDEX questionari_compilazioni_questionario_id_user_id_key ON public.questionari_compilazioni USING btree (questionario_id, user_id)"
public,questionari_compilazioni,questionari_compilazioni_questionario_idx,CREATE INDEX questionari_compilazioni_questionario_idx ON public.questionari_compilazioni USING btree (questionario_id)
public,questionari_domande,questionari_domande_pkey,CREATE UNIQUE INDEX questionari_domande_pkey ON public.questionari_domande USING btree (id)
public,questionari_domande,questionari_domande_template_id_ordine_key,"CREATE UNIQUE INDEX questionari_domande_template_id_ordine_key ON public.questionari_domande USING btree (template_id, ordine)"
public,questionari_domande,questionari_domande_template_idx,"CREATE INDEX questionari_domande_template_idx ON public.questionari_domande USING btree (template_id, ordine)"
public,questionari_risposte,questionari_risposte_compilazione_id_domanda_id_key,"CREATE UNIQUE INDEX questionari_risposte_compilazione_id_domanda_id_key ON public.questionari_risposte USING btree (compilazione_id, domanda_id)"
public,questionari_risposte,questionari_risposte_pkey,CREATE UNIQUE INDEX questionari_risposte_pkey ON public.questionari_risposte USING btree (id)
public,questionari_template,questionari_template_default_unique,CREATE UNIQUE INDEX questionari_template_default_unique ON public.questionari_template USING btree (destinatario) WHERE ((predefinito = true) AND (attivo = true))
public,questionari_template,questionari_template_destinatario_idx,CREATE INDEX questionari_template_destinatario_idx ON public.questionari_template USING btree (destinatario)
public,questionari_template,questionari_template_pkey,CREATE UNIQUE INDEX questionari_template_pkey ON public.questionari_template USING btree (id)
public,risorse_mentoring,risorse_mentoring_pkey,CREATE UNIQUE INDEX risorse_mentoring_pkey ON public.risorse_mentoring USING btree (id)
public,risorse_mentoring,risorse_mentoring_storage_path_key,CREATE UNIQUE INDEX risorse_mentoring_storage_path_key ON public.risorse_mentoring USING btree (storage_path)
public,ssd,ssd_pkey,CREATE UNIQUE INDEX ssd_pkey ON public.ssd USING btree (cod_ssd)
public,user_roles,user_roles_pkey,CREATE UNIQUE INDEX user_roles_pkey ON public.user_roles USING btree (user_id)
